swan_ID,id_year,fall_mig_onset,spring_arrival,spring_arrival_comment,mig_duration,mig_duration_comment,fall_mig_onset_comment,breeding_status,cygnets,sex,lead,breeding_lat,breeding_longitude,fall_yr,spring_yr,entire_yr
9A,9A-2019-2020,2020-11-06,2020-03-01,NA,116.0085813,NA,NA,breeder,1,F,NA,45.002535,-93.626971,2019,2020,2019-2020
9A,9A-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,1,F,NA,45.002535,-93.626971,2020,2021,2020-2021
2K,2K-2019-2020,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,breeder,5,F,NA,46.309654,-95.658605,2019,2020,2019-2020
2K,2K-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,F,NA,46.309654,-95.658605,2020,2021,2020-2021
2K,2K-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,F,NA,46.309654,-95.658605,2021,2022,2021-2022
3K,3K-2019-2020,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,non_breeder,0,F,NA,46.294051,-96.399557,2019,2020,2019-2020
3K,3K-2020-2021,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,non_breeder,0,F,NA,46.294051,-96.399557,2020,2021,2020-2021
3K,3K-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,F,NA,46.294051,-96.399557,2021,2022,2021-2022
4K,4K-2019-2020,2020-10-29,2020-03-23,NA,145.999819,NA,NA,breeder,1,F,NA,46.291574,-95.683891,2019,2020,2019-2020
4K,4K-2020-2021,2020-12-15,2020-03-13,NA,88.58997359999998,NA,NA,breeder,1,F,NA,46.291574,-95.683891,2020,2021,2020-2021
4K,4K-2021-2022,2020-11-27,2020-03-16,NA,109.99492280000001,NA,NA,breeder,1,F,NA,46.291574,-95.683891,2021,2022,2021-2022
6K,6K-2019-2020,2020-11-05,2020-02-08,NA,94.9989708,NA,NA,breeder,2,F,NA,46.233807,-85.70311,2019,2020,2019-2020
6K,6K-2020-2021,2020-10-10,2020-01-31,NA,112.82080429999999,NA,NA,breeder,2,F,NA,46.233807,-85.70311,2020,2021,2020-2021
6K,6K-2021-2022,2020-09-23,2020-01-18,NA,116.78060911,NA,NA,breeder,2,F,NA,46.233807,-85.70311,2021,2022,2021-2022
5K,5K-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,NA,46.356399,-92.471589,2019,2020,2019-2020
8A,8A-2020-2021,2020-12-24,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,paired,0,F,63.8,44.817844,-93.2286863,2020,2021,2020-2021
8A,8A-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,63.8,44.817844,-93.2286863,2021,2022,2021-2022
1A,1A-2020-2021,2020-10-17,2020-03-01,NA,135.9982373,NA,NA,paired,0,M,21.2,45.002486,-93.611393,2020,2021,2020-2021
1A,1A-2021-2022,2020-10-17,2020-03-01,NA,136.45983869999998,NA,NA,paired,0,M,21.2,45.002486,-93.611393,2021,2022,2021-2022
1A,1A-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,M,21.2,45.002486,-93.611393,2022,2023,2022-2023
0A,0A-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,M,33.3,45.055793,-93.752159,2020,2021,2020-2021
0A,0A-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,M,33.3,45.055793,-93.752159,2022,2023,2022-2023
1E,1E-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,60.5,44.8678,-93.81828,2020,2021,2020-2021
1E,1E-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,paired,0,F,60.5,44.8678,-93.81828,2021,2022,2021-2022
1E,1E-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,60.5,44.8678,-93.81828,2022,2023,2022-2023
2E,2E-2020-2021,2020-10-23,2020-03-12,NA,141.00038339999998,NA,NA,paired,0,M,305.3,46.5360944,-96.20328,2020,2021,2020-2021
2E,2E-2021-2022,2020-11-16,2020-03-15,NA,120.00068049999999,NA,NA,paired,0,M,305.3,46.5360944,-96.20328,2021,2022,2021-2022
0E,0E-2020-2021,2020-10-24,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,paired,0,F,338.5,46.8046539,-93.6960743,2020,2021,2020-2021
9E,9E-2020-2021,2020-11-16,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,paired,0,F,107.5,46.8419568,-93.2178857,2020,2021,2020-2021
8E,8E-2020-2021,2020-11-29,2020-03-05,NA,97.00307090000001,NA,NA,non_breeder,0,M,32.3,46.9190281,-93.5191427,2020,2021,2020-2021
6E,6E-2020-2021,2020-09-26,2020-03-14,NA,169.58564753000002,NA,NA,non_breeder,0,M,66.2,46.634439,-92.776876,2020,2021,2020-2021
6E,6E-2021-2022,2020-10-17,2020-03-27,NA,162.4964651,NA,NA,non_breeder,0,M,66.2,46.634439,-92.776876,2021,2022,2021-2022
6E,6E-2022-2023,2020-10-07,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,M,66.2,46.634439,-92.776876,2022,2023,2022-2023
7E,7E-2020-2021,2020-12-23,2020-03-03,NA,71.00203190000002,NA,NA,breeder,5,F,36.1,43.933905,-94.861006,2020,2021,2020-2021
7E,7E-2021-2022,2020-12-08,2020-02-18,NA,71.38449200000002,NA,NA,breeder,5,F,36.1,43.933905,-94.861006,2021,2022,2021-2022
7E,7E-2022-2023,2020-12-01,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,5,F,36.1,43.933905,-94.861006,2022,2023,2022-2023
1R,1R-2020-2021,2020-11-28,2020-02-26,NA,90.00047899999998,NA,NA,breeder,4,F,28.4,43.858343,-95.090119,2020,2021,2020-2021
0R,0R-2020-2021,2020-11-12,2020-03-02,NA,111.00144460000001,NA,NA,breeder,5,F,28.4,44.008855,-95.271487,2020,2021,2020-2021
0R,0R-2021-2022,2020-11-26,2020-03-02,NA,97.00002269999999,NA,NA,breeder,5,F,28.4,44.008855,-95.271487,2021,2022,2021-2022
0R,0R-2022-2023,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,breeder,5,F,28.4,44.008855,-95.271487,2022,2023,2022-2023
0H,0H-2020-2021,2020-10-21,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,0,M,NA,51.050226,-96.833822,2020,2021,2020-2021
0H,0H-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,breeder,0,M,NA,51.050226,-96.833822,2021,2022,2021-2022
3R,3R-2020-2021,2020-10-25,2020-02-26,NA,124.00068660000001,NA,NA,breeder,3,F,46.7,43.965941,-94.758631,2020,2021,2020-2021
3R,3R-2021-2022,2020-11-26,2020-03-03,NA,97.9977443,NA,NA,breeder,3,F,46.7,43.965941,-94.758631,2021,2022,2021-2022
3R,3R-2022-2023,2020-11-10,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,3,F,46.7,43.965941,-94.758631,2022,2023,2022-2023
2R,2R-2020-2021,2020-11-05,2020-02-27,NA,113.73045830000001,NA,NA,breeder,1,F,209.7,44.54568,-94.418528,2020,2021,2020-2021
1H,1H-2020-2021,2020-09-01,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,M,NA,49.700347,-96.20328,2020,2021,2020-2021
1H,1H-2021-2022,2020-11-16,2020-03-12,NA,117.23883669999998,NA,NA,non_breeder,0,M,NA,49.700347,-96.20328,2021,2022,2021-2022
2H,2H-2020-2021,2020-09-02,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,F,NA,49.700347,-93.885301,2020,2021,2020-2021
3H,3H-2020-2021,2020-10-19,2020-03-04,NA,136.9817624,NA,NA,breeder,4,F,NA,49.599171,-83.885587,2020,2021,2020-2021
3H,3H-2021-2022,2020-10-22,2020-03-19,NA,149.0856584,NA,NA,breeder,4,F,NA,49.599171,-83.885587,2021,2022,2021-2022
3H,3H-2022-2023,2020-11-09,2020-04-01,NA,143.99940180000002,NA,NA,breeder,4,F,NA,49.599171,-83.885587,2022,2023,2022-2023
4H,4H-2020-2021,2020-10-28,2020-03-18,NA,142.0028287,NA,NA,non_breeder,0,M,NA,50.602661,-84.27195,2020,2021,2020-2021
4H,4H-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,M,NA,50.602661,-84.27195,2021,2022,2021-2022
5H,5H-2020-2021,2020-10-27,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,NA,0,F,NA,50.830895,-96.82546,2020,2021,2020-2021
6R,6R-2020-2021,2020-09-27,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,paired,0,M,150.8,46.824104,-94.152856,2020,2021,2020-2021
5R,5R-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,75.8,46.766629,-95.191584,2020,2021,2020-2021
5R,5R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,75.8,46.766629,-95.191584,2021,2022,2021-2022
4R,4R-2020-2021,2020-10-28,2020-03-08,NA,132.04408919999997,NA,NA,breeder,4,F,129.2,47.548893,-93.75311,2020,2021,2020-2021
4R,4R-2021-2022,2020-11-12,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,4,F,129.2,47.548893,-93.75311,2021,2022,2021-2022
3E,3E-2020-2021,2020-12-23,2020-03-02,NA,70.04222379999999,NA,NA,breeder,3,M,22.5,44.882535,-95.875973,2020,2021,2020-2021
3E,3E-2021-2022,2020-11-11,2020-03-02,NA,111.8197605,NA,NA,breeder,3,M,22.5,44.882535,-95.875973,2021,2022,2021-2022
0M,0M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,F,100.1,41.4623,-83.02197,2020,2021,2020-2021
0M,0M-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,non_breeder,0,F,100.1,41.4623,-83.02197,2021,2022,2021-2022
0M,0M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,F,100.1,41.4623,-83.02197,2022,2023,2022-2023
7R,7R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,F,42.9,47.660391,-94.748534,2021,2022,2021-2022
8R,8R-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,103.3,47.500505,-94.954397,2020,2021,2020-2021
8R,8R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,103.3,47.500505,-94.954397,2021,2022,2021-2022
9R,9R-2020-2021,2020-09-27,2020-03-23,NA,177.51848254,NA,NA,non_breeder,0,M,118.5,47.025037,-94.537675,2020,2021,2020-2021
9R,9R-2021-2022,2020-11-24,2020-03-15,NA,112.00193449999998,NA,NA,non_breeder,0,M,118.5,47.025037,-94.537675,2021,2022,2021-2022
9R,9R-2022-2023,2020-11-09,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,M,118.5,47.025037,-94.537675,2022,2023,2022-2023
2T,2T-2020-2021,2020-10-29,2020-03-04,NA,127.3977435,NA,NA,breeder,1,M,28.4,46.153865,-95.66579,2020,2021,2020-2021
2T,2T-2021-2022,2020-12-23,2020-03-03,NA,70.97750779999998,NA,NA,breeder,1,M,28.4,46.153865,-95.66579,2021,2022,2021-2022
2T,2T-2022-2023,2020-12-15,2020-03-14,NA,89.99826959999999,NA,NA,breeder,1,M,28.4,46.153865,-95.66579,2022,2023,2022-2023
0N,0N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,3,F,16,41.62445,-83.2282,2020,2021,2020-2021
3T,3T-2021-2022,2020-11-17,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,F,541.5,46.105333,-94.942478,2021,2022,2021-2022
1N,1N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,1,M,80,41.62236,-83.21336,2020,2021,2020-2021
1N,1N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,1,M,80,41.62236,-83.21336,2021,2022,2021-2022
2N,2N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,1,F,107.4,41.62871,-89.296,2020,2021,2020-2021
3N,3N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,F,62.7,41.62079,-89.296,2020,2021,2020-2021
3N,3N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,F,62.7,41.62079,-89.296,2021,2022,2021-2022
6T,6T-2020-2021,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint,non_breeder,0,M,68,45.480052,-93.702469,2020,2021,2020-2021
6T,6T-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",non_breeder,0,M,68,45.480052,-93.702469,2021,2022,2021-2022
6H,6H-2020-2021,2020-10-23,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,0,M,NA,49.17177,-95.480271,2020,2021,2020-2021
7H,7H-2020-2021,2020-10-19,2020-03-03,NA,136.343213,NA,NA,paired,0,M,NA,49.653416,-96.225019,2020,2021,2020-2021
8H,8H-2020-2021,2020-10-17,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,paired,0,F,NA,50.291275,-95.697579,2020,2021,2020-2021
1M,1M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,4,F,33.3,41.43333,-83.01498,2020,2021,2020-2021
1M,1M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,4,F,33.3,41.43333,-83.01498,2021,2022,2021-2022
2M,2M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,M,39.8,41.46111,-83.20747,2020,2021,2020-2021
2M,2M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,M,39.8,41.46111,-83.20747,2021,2022,2021-2022
2M,2M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,5,M,39.8,41.46111,-83.20747,2022,2023,2022-2023
3M,3M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,93.1,41.43033,-83.2209,2020,2021,2020-2021
4N,4N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,21.8,40.70984,-92.626214,2020,2021,2020-2021
4N,4N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,21.8,40.70984,-92.626214,2021,2022,2021-2022
5N,5N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,6,F,52,40.72501,-90.09283,2020,2021,2020-2021
5N,5N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,6,F,52,40.72501,-90.09283,2021,2022,2021-2022
6N,6N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,58.4,40.71111,-83.29391,2020,2021,2020-2021
6N,6N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,58.4,40.71111,-83.29391,2021,2022,2021-2022
